creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2024-12-31 16:26:38+00:00,2025-02-08 20:05:10+00:00,元 元,1105ya,938429325310910,938429325310910,196,,781635.0,一人一句新年快樂🫶🏻,18.33,"{'0': '1127340132357480', '1': '917480790853176'}",2025-01-01 00:26:38+08:00,2025-02-09 04:05:10+08:00,,Yes,MetaTool
2025-01-01 10:58:15+00:00,2026-01-09 09:57:55+00:00,元 元,1105ya,786783353764646,786783353764646,112,,1041684.0,Hi~新年第一天！！,10.77,"{'0': '733406559613399', '1': '1127340132357480'}",2025-01-01 18:58:15+08:00,2026-01-09 17:57:55+08:00,,Yes,MetaTool
2025-01-06 04:05:13+00:00,2026-01-21 06:55:56+00:00,元 元,1105ya,788785637587215,788785637587215,203,,1020132.0,"謝謝 @lovejpski
這次來,滑雪🏂更進步了
教練是老闆（真的太會教了）
已經對滑雪已中毒了💕
謝謝 @yueh_0720 有妳才有這趟旅行，有妳在真的太幸福了° ̋(๑˃́ꇴ˂̀๑) ✲°
無敵愛妳～～已中毒！

 #橫手山滑雪場",23.6,"{'0': '1547187463178178', '1': '912776370516304'}",2025-01-06 12:05:13+08:00,2026-01-21 14:55:56+08:00,,Yes,MetaTool
2025-01-21 09:58:50+00:00,2025-04-16 04:36:15+00:00,元 元,1105ya,1868548027112934,1868548027112934,1,,9752.0,"過年🧧搶錢大作戰
快tag家人一起玩拔～～",43.6,,2025-01-21 17:58:50+08:00,2025-04-16 12:36:15+08:00,,Yes,MetaTool
2025-01-27 09:02:57+00:00,2025-07-12 07:02:11+00:00,元 元,1105ya,1613714039660149,1613714039660149,135,,1772253.0,❄️第一次來首爾下大雪！！！⛄️,10.67,{'0': 'non_public_25844961905156578'},2025-01-27 17:02:57+08:00,2025-07-12 15:02:11+08:00,,Yes,MetaTool
2025-01-30 17:09:42+00:00,2025-03-06 12:22:17+00:00,元 元,1105ya,4372884809697373,4372884809697373,0,83.0,15557.0,怎麼有人比我還認真⋯,13.97,,2025-01-31 01:09:42+08:00,2025-03-06 20:22:17+08:00,,Yes,MetaTool
2025-02-02 08:29:21+00:00,2025-09-02 21:32:14+00:00,元 元,1105ya,1229684089111072,1229684089111072,302,22214.0,1315999.0,"睡覺睡到一半怎麼會這樣？..

#巔峰32步",23.77,"{'0': '1200539092164064', '1': '746570294874158'}",2025-02-02 16:29:21+08:00,2025-09-03 05:32:14+08:00,,Yes,MetaTool
2025-02-11 12:42:10+00:00,2025-08-31 06:34:32+00:00,元 元,1105ya,775484275597330,775484275597330,240,,726967.0,痾⋯怎麼會有人在後面？,15.1,,2025-02-11 20:42:10+08:00,2025-08-31 14:34:32+08:00,,Yes,MetaTool
2025-03-28 11:09:47+00:00,2025-10-01 09:17:46+00:00,元 元,1105ya,762010323199994,762010323199994,147,,774143.0,"夏天快來了！！
14天的飲控+運動計劃大成功⁾ (•̤̀ᵕ•̤́๑)ᵒᵏ
最近出國一直都吃太好⋯
冬天體重就越來越⋯慘不忍睹
最近開始把早餐改成最近網路爆紅的 @labelleteaofficial 
肌力動能輕蛋白奶昔😍
拉蓓有出兩種口味
極孅閃電輕奶昔：莓果風味
肌力動能輕蛋白：水果牛奶風味
早上起來只要倒溫熱水到袋子裡
搖均勻就可以直接飲用很方便
每包才127大卡，我的早午餐，就靠這個了，真的很方便又很健康，長期喝下來，我就變一個健康寶寶了，不僅能提供飽足感，還可以補充營養
這一包裡面包含15g植物蛋白、5g膳食纖維、
200mcg 專利銘、12種維生素以及9種礦物質

夏天快到了一起健康美🙌🏻

購買連結：https://www.labelle.cc/product.php?cid=230",69.07,{'0': '824779843914676'},2025-03-28 19:09:47+08:00,2025-10-01 17:17:46+08:00,,Yes,MetaTool
2025-03-29 07:38:15+00:00,2025-05-29 17:31:17+00:00,元 元,1105ya,1363330722233207,1363330722233207,200,,372508.0,我最喜歡的一首！！👾,16.58,{'0': 'non_public_1206686414292941'},2025-03-29 15:38:15+08:00,2025-05-30 01:31:17+08:00,,Yes,MetaTool
2025-04-02 14:37:13+00:00,2025-08-31 04:16:04+00:00,元 元,1105ya,1218264339884809,1218264339884809,160,15088.0,904921.0,當我一個人在廁所的時候👾,14.47,{'0': 'non_public_1206686414292941'},2025-04-02 22:37:13+08:00,2025-08-31 12:16:04+08:00,,Yes,MetaTool
2025-04-05 10:02:00+00:00,2026-01-07 22:57:49+00:00,元 元,1105ya,25902971159356728,25902971159356733,151,10354.0,751198.0,"富士山🗻日本最美星巴克

📍 Starbucks Coffee - Fujikawa Service Area (Outbound)

 #富士山  #富士山河口湖",20.92,{'0': '733406559613399'},2025-04-05 18:02:00+08:00,2026-01-08 06:57:49+08:00,,Yes,MetaTool
2025-04-09 10:01:46+00:00,2025-11-20 14:04:24+00:00,元 元,1105ya,1257553352904716,1257553352904716,146,9229.0,788749.0,"剛下班來 @evoasis 充電🔋

特斯拉車主看過來！
信用卡加值一度電不到5.8元
站點又很多！！
隨插即充好方便！
【史上最強充電優惠】：星空/晴空電價
用以下信用卡加值充電金
最高可享 10% 回饋！！

•聯邦綠卡：10% 回饋
•永豐 GREEN 卡：5% 回饋
•台新玫瑰卡 & 太陽卡：3.3% 回饋

 #EVOASIS #全台最大充電站",43.77,{'0': '885130690976887'},2025-04-09 18:01:46+08:00,2025-11-20 22:04:24+08:00,,Yes,MetaTool
2025-04-19 15:19:55+00:00,2025-08-28 06:09:47+00:00,元 元,1105ya,3163617273820923,3163617273820923,2,,14569.0,跳到一半後面竟然有人！,15.1,,2025-04-19 23:19:55+08:00,2025-08-28 14:09:47+08:00,,Yes,MetaTool
2025-04-19 15:23:43+00:00,2025-12-01 02:30:17+00:00,元 元,1105ya,2332771807190680,2332771807190680,0,,15366.0,我知道你想看什麼⋯😈,5.8,,2025-04-19 23:23:43+08:00,2025-12-01 10:30:17+08:00,,Yes,MetaTool
2025-04-21 10:06:00+00:00,2025-04-23 07:06:05+00:00,元 元,1105ya,757960347352602,757960347352602,0,,3602.0,當你跟朋友一起拍這首歌！！,10.63,,2025-04-21 18:06:00+08:00,2025-04-23 15:06:05+08:00,,Yes,MetaTool
2025-04-21 10:06:59+00:00,2025-04-24 00:37:04+00:00,元 元,1105ya,1460453455503005,1460453455503005,0,,5908.0,小紅書爆紅的富士山星巴克🤩,20.92,,2025-04-21 18:06:59+08:00,2025-04-24 08:37:04+08:00,,Yes,MetaTool
2025-04-21 10:09:47+00:00,2026-02-22 04:56:31+00:00,元 元,1105ya,908045185486738,908045185486738,20,,981876.0,"在路邊朋友突然叫我跳這首？？
就只能敷衍她一下了🙂",11.21,,2025-04-21 18:09:47+08:00,2026-02-22 12:56:31+08:00,,Yes,MetaTool
2025-04-21 10:13:44+00:00,2025-09-03 10:16:53+00:00,元 元,1105ya,3973630742771106,3973630742771106,0,,304072.0,"夏天快到了⋯
最近超認真運動！！",7.17,,2025-04-21 18:13:44+08:00,2025-09-03 18:16:53+08:00,,Yes,MetaTool
